epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,14765.9,0.9384,0.69376,1.39171,0.79101,0.6981,0.77468,0.50162,1.18867,0.68591,1.66816,0.003367,0.003367,0.003367
136,14872.2,0.93683,0.70001,1.39423,0.79231,0.69977,0.77426,0.50156,1.18908,0.68563,1.66838,0.0033175,0.0033175,0.0033175
137,14978.6,0.93757,0.68836,1.3912,0.79092,0.70068,0.77324,0.50161,1.18891,0.68557,1.66832,0.003268,0.003268,0.003268
138,15084.9,0.93148,0.68171,1.38531,0.78484,0.70326,0.77311,0.50164,1.18908,0.68568,1.66862,0.0032185,0.0032185,0.0032185
139,15190.9,0.93485,0.68615,1.38981,0.78807,0.7009,0.77361,0.50168,1.18905,0.68534,1.66887,0.003169,0.003169,0.003169
140,15297.1,0.93108,0.68861,1.38573,0.78714,0.70144,0.7736,0.50147,1.18924,0.68488,1.66918,0.0031195,0.0031195,0.0031195
141,15403,0.9372,0.695,1.39241,0.78503,0.70427,0.77334,0.50179,1.18962,0.68484,1.66974,0.00307,0.00307,0.00307
142,15509.2,0.93063,0.68346,1.38143,0.78858,0.70341,0.77338,0.50192,1.18994,0.68492,1.67014,0.0030205,0.0030205,0.0030205
143,15615.2,0.93577,0.68114,1.38839,0.78862,0.7009,0.77358,0.50173,1.18988,0.68522,1.6703,0.002971,0.002971,0.002971
144,15740.4,0.92413,0.68263,1.38036,0.78364,0.70371,0.77368,0.50167,1.19031,0.6852,1.67077,0.0029215,0.0029215,0.0029215
145,15855.1,0.91959,0.6812,1.37887,0.78555,0.70146,0.77313,0.50267,1.1906,0.68524,1.67101,0.002872,0.002872,0.002872
146,15960.2,0.91887,0.67042,1.37637,0.78527,0.70314,0.77277,0.50265,1.19079,0.68537,1.67113,0.0028225,0.0028225,0.0028225
147,16067,0.9229,0.67565,1.38194,0.78552,0.70117,0.77283,0.50227,1.19107,0.68545,1.67166,0.002773,0.002773,0.002773
148,16173.8,0.92949,0.67184,1.38518,0.78593,0.70135,0.77262,0.50266,1.19143,0.68523,1.67236,0.0027235,0.0027235,0.0027235
149,16280.3,0.91562,0.67238,1.37304,0.78615,0.70125,0.77259,0.50229,1.1915,0.68518,1.67269,0.002674,0.002674,0.002674
150,16387.3,0.92168,0.67095,1.37633,0.78774,0.69956,0.77256,0.50224,1.19199,0.68502,1.67329,0.0026245,0.0026245,0.0026245
151,16494,0.91924,0.67243,1.38087,0.78853,0.69854,0.77259,0.50211,1.19248,0.68499,1.6739,0.002575,0.002575,0.002575
152,16600.3,0.91084,0.66099,1.37181,0.78979,0.6966,0.7727,0.50236,1.19278,0.68462,1.67446,0.0025255,0.0025255,0.0025255
153,16706.2,0.91569,0.66747,1.37443,0.79055,0.69655,0.77275,0.50189,1.19305,0.68453,1.675,0.002476,0.002476,0.002476
